#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
269     0.262040692       0.262007945          6.55019863e-05     4.59011e+06     656458          1.0361e-06              
270     0.262106202       0.262073447          6.55183618e-05     4.82255e+06     689701          1.0361e-06              
271     0.262171729       0.262138966          6.55347414e-05     5.05505e+06     722951          1.0361e-06              
272     0.262237272       0.2622045            6.55511251e-05     5.2876e+06      756210          1.0361e-06              
273     0.262302831       0.262270052          6.55675129e-05     5.52022e+06     789478          1.0361e-06              
274     0.262368407       0.262335619          6.55839048e-05     5.75289e+06     822753          1.0361e-06              
275     0.262433999       0.262401203          6.56003007e-05     5.98562e+06     856037          1.0361e-06              
276     0.262499608       0.262466803          6.56167008e-05     6.2184e+06      889329          1.0361e-06              
277     0.262565232       0.26253242           6.5633105e-05      6.45125e+06     922630          1.0361e-06              
278     0.262630874       0.262598053          6.56495133e-05     6.68415e+06     955939          1.0361e-06              
279     0.262696531       0.262663703          6.56659257e-05     6.91712e+06     989256          1.0361e-06              
280     0.262762206       0.262729369          6.56823421e-05     7.15014e+06     1.02258e+06     1.0361e-06              
281     0.262827896       0.262795051          6.56987627e-05     7.38321e+06     1.05592e+06     1.0361e-06              
282     0.262893603       0.26286075           6.57151874e-05     7.60387e+06     1.08747e+06     1.0361e-06              
283     0.262959327       0.262926465          6.57316162e-05     7.65796e+06     1.09521e+06     1.0361e-06              
284     0.263025066       0.262992196          6.57480491e-05     7.65994e+06     1.09549e+06     1.0361e-06              
285     0.263090823       0.263057945          6.57644861e-05     7.66192e+06     1.09578e+06     1.0361e-06              
286     0.263156595       0.263123709          6.57809272e-05     7.66391e+06     1.09606e+06     1.0361e-06              
287     0.263222384       0.26318949           6.57973725e-05     7.66589e+06     1.09634e+06     1.0361e-06              
288     0.26328819        0.263255287          6.58138218e-05     7.66788e+06     1.09663e+06     1.0361e-06              
289     0.263354012       0.263321101          6.58302753e-05     7.66986e+06     1.09691e+06     1.0361e-06              
290     0.263419851       0.263386931          6.58467328e-05     7.67185e+06     1.09719e+06     1.0361e-06              
291     0.263485706       0.263452778          6.58631945e-05     7.67384e+06     1.09748e+06     1.0361e-06              
292     0.263551577       0.263518641          6.58796603e-05     7.67582e+06     1.09776e+06     1.0361e-06              
293     0.263617465       0.263584521          6.58961302e-05     7.67781e+06     1.09805e+06     1.0361e-06              
294     0.263683369       0.263650417          6.59126043e-05     7.6798e+06      1.09833e+06     1.0361e-06              
295     0.26374929        0.26371633           6.59290824e-05     7.68179e+06     1.09862e+06     1.0361e-06              
296     0.263815227       0.263782259          6.59455647e-05     7.68378e+06     1.0989e+06      1.0361e-06              
297     0.263881181       0.263848204          6.59620511e-05     7.68576e+06     1.09919e+06     1.0361e-06              
298     0.263947152       0.263914166          6.59785416e-05     7.6868e+06      1.09933e+06     1.0361e-06              
299     0.264013138       0.263980145          6.59950362e-05     7.67697e+06     1.09793e+06     1.0361e-06              
300     0.264079142       0.26404614           6.6011535e-05      7.66408e+06     1.09608e+06     1.0361e-06              
301     0.264145161       0.264112152          6.60280379e-05     7.65119e+06     1.09424e+06     1.0361e-06              
302     0.264211198       0.26417818           6.60445449e-05     7.63829e+06     1.0924e+06      1.0361e-06              
303     0.264277251       0.264244224          6.6061056e-05      7.62539e+06     1.09055e+06     1.0361e-06              
304     0.26434332        0.264310285          6.60775713e-05     7.61249e+06     1.08871e+06     1.0361e-06              
305     0.264409406       0.264376363          6.60940907e-05     7.59958e+06     1.08686e+06     1.0361e-06              
306     0.264475508       0.264442457          6.61106142e-05     7.58667e+06     1.08501e+06     1.0361e-06              
307     0.264541627       0.264508567          6.61271419e-05     7.57376e+06     1.08317e+06     1.0361e-06              
308     0.264607762       0.264574695          6.61436736e-05     7.56085e+06     1.08132e+06     1.0361e-06              
309     0.264673914       0.264640838          6.61602096e-05     7.54793e+06     1.07947e+06     1.0361e-06              
310     0.264740083       0.264706998          6.61767496e-05     7.535e+06       1.07762e+06     1.0361e-06              
